block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
2534_202_000,trestle,21,12,252,252.0,20.500473,11.561776,3.221501,9776,6546,0.2103424072265625,0.03715157508850098
2534_212_000,trestle,18,18,324,324.0,18.30230800000001,18.267462,3.321001,13770,8573,0.2779998779296875,0.03687310218811035
2534_221_000,trestle,16,26,416,416.0,15.805015000000004,25.807640999999997,9.046612,24659,16302,0.5612335205078125,0.06314921379089355
2534_222_000,trestle,21,18,378,378.0,20.507599,17.665499999999998,9.023295,17517,12394,0.394287109375,0.04760003089904785
2534_224_000,trestle,19,26,494,494.0,18.65053499999999,25.810095,9.049638000000002,21302,14667,0.3820037841796875,0.04813551902770996
2534_226_000,trestle,15,26,390,390.0,15.250197999999983,25.81068,9.022148999999999,24342,16200,0.4145660400390625,0.052710533142089844
2534_227_000,trestle,19,26,494,494.0,18.500732999999997,25.810095,9.049638000000002,21218,14657,0.3779449462890625,0.049447059631347656
2534_229_000,trestle,15,26,390,390.0,15.122130999999996,25.807999,9.03229,25517,16677,0.52783203125,0.061338186264038086
2534_231_000,trestle,16,21,336,336.0,15.805015000000004,20.710331,9.045765,17127,11757,0.4182891845703125,0.04915928840637207
2534_232_000,trestle,21,18,378,378.0,20.507599,17.665501,9.020213,17562,12311,0.3907928466796875,0.04604077339172363
2534_234_000,trestle,19,21,399,399.0,18.650550999999993,20.715415999999998,9.049642,15978,11305,0.2922210693359375,0.0398869514465332
2534_236_000,trestle,15,21,315,315.0,15.250182999999993,20.712002,9.022152,19263,13007,0.33001708984375,0.04355311393737793
2534_239_000,trestle,15,21,315,315.0,15.122130999999996,20.710998999999997,9.032290999999999,19582,13041,0.427520751953125,0.05088400840759277
2534_241_000,trestle,21,17,357,357.0,20.53311199999999,17.430671,3.2230000000000003,14539,9829,0.291778564453125,0.0371394157409668
2534_251_000,trestle,21,12,252,252.0,20.528014999999982,12.333519,3.220501,8039,5757,0.1794891357421875,0.030075550079345703
2534_281_000,trestle,21,13,273,273.0,20.566238999999996,13.36613,8.419939,10828,7070,0.298583984375,0.059237003326416016
2534_282_000,trestle,18,15,270,270.0,18.35569799999999,14.822501,8.676506999999999,11296,6716,0.28717041015625,0.03458094596862793
2534_291_000,trestle,21,13,273,273.0,20.566238999999996,13.36613,8.419942,10772,7007,0.29608154296875,0.03217673301696777
2534_292_000,trestle,18,15,270,270.0,18.35569799999999,14.822501,8.676509,10828,6591,0.278289794921875,0.032209157943725586
2534_40B,crane,3,41,123,123.0,2.8000029999999896,40.978002000000004,29.612732,47829,26466,0.8016204833984375,0.09938931465148926
2534_40C,crane,3,41,123,123.0,2.800003000000004,40.978002000000004,29.613131,47881,26427,0.7947235107421875,0.10249161720275879
2534_40D,crane,3,41,123,123.0,2.800003000000004,40.97818,29.61312,47788,26405,0.7898406982421875,0.10011053085327148
2534_66B,crane,52,12,624,624.0,52.00516499999999,12.391007999999998,10.997480999999997,23571,15154,0.445343017578125,0.061440229415893555
2534_67B,crane,52,12,624,624.0,52.20419299999999,12.391010000000001,10.997484,23376,15095,0.4446258544921875,0.05662226676940918
2535_21D,crane,21,45,945,945.0,20.56944299999998,44.999722,9.038613,44140,29739,0.994537353515625,0.11476635932922363
2535_22D,crane,18,36,648,648.0,18.35569799999999,36.373882,9.049559,35801,21869,0.794464111328125,0.08729887008666992
2535_40D,crane,3,41,123,123.0,2.8001859999999965,40.97818,29.61312,47943,26488,0.7989654541015625,0.10021424293518066
2543_21D,crane,19,51,969,969.0,19.366150000000005,50.609604,10.453452,51387,34604,1.1926727294921875,0.14293694496154785
2543_22D,crane,19,45,855,855.0,18.714477000000016,44.993062,10.450368000000001,49433,31170,1.1410369873046875,0.13519883155822754
2550_223_000,trestle,19,26,494,494.0,19.351837000000003,25.809002,9.047736,29547,19665,0.5214691162109375,0.06506657600402832
2550_224_000,trestle,19,26,494,494.0,18.65019200000002,25.809004,9.039727000000001,23859,16819,0.388427734375,0.05682063102722168
2550_225_000,trestle,19,26,494,494.0,18.550018000000023,25.809002,9.020166,21426,14941,0.3719940185546875,0.050121307373046875
2550_233_000,trestle,19,21,399,399.0,19.351837000000003,20.712002,9.047739,22896,15674,0.4202117919921875,0.05246281623840332
2550_234_000,trestle,19,21,399,399.0,18.65019200000002,20.712002,9.040078000000001,17201,12614,0.3004302978515625,0.04235053062438965
2550_235_000,trestle,19,21,399,399.0,18.550018000000023,20.712002,9.02017,17056,12224,0.300445556640625,0.04098105430603027
2550_66B,crane,52,12,624,624.0,52.00043500000001,12.391007999999998,10.997415999999998,22722,14965,0.4729461669921875,0.0566861629486084
2550_67B,crane,52,12,624,624.0,52.19999700000001,12.391010000000001,10.997484,22942,15333,0.476593017578125,0.057949066162109375
2563_21D,crane,21,45,945,945.0,20.56984,44.977234,9.044652,44900,29725,1.06658935546875,0.11946916580200195
2563_221_000,trestle,16,26,416,416.0,15.805142000000004,25.806131999999998,9.045743,24937,16296,0.5744171142578125,0.06701898574829102
2563_222_000,trestle,21,18,378,378.0,20.50629500000001,18.489008,9.009566,17754,12567,0.451080322265625,0.05265688896179199
2563_223_000,trestle,19,26,494,494.0,19.351805999999996,25.809002,8.985999,31253,20871,0.59930419921875,0.08137297630310059
2563_225_000,trestle,19,26,494,494.0,18.5634,25.809002,9.047393,21782,15361,0.4347076416015625,0.06003117561340332
2563_229_000,trestle,15,26,390,390.0,15.172744999999992,25.806,9.040675,26559,17090,0.5730133056640625,0.07156491279602051
2563_22D,crane,18,36,648,648.0,18.40396099999998,36.369362,9.034428,38079,22994,0.86480712890625,0.09773540496826172
2563_231_000,trestle,16,21,336,336.0,15.932903999999994,20.708807,9.045793999999999,17286,11731,0.434600830078125,0.05100607872009277
2563_232_000,trestle,21,18,378,378.0,20.50629500000001,18.489002,9.008262,17900,12582,0.4435272216796875,0.06294560432434082
2563_233_000,trestle,19,21,399,399.0,19.351805999999996,20.712002,8.986002,24219,16621,0.4858245849609375,0.06560444831848145
2563_235_000,trestle,19,21,399,399.0,18.5634,20.712002,9.047396,16387,12089,0.347259521484375,0.04735445976257324
2563_239_000,trestle,15,21,315,315.0,15.158843999999988,20.709,9.039772,20442,13549,0.473480224609375,0.05482912063598633
2567_21D,crane,21,45,945,945.0,20.556992000000008,44.99606,9.043588,44157,29733,1.0062103271484375,0.11521100997924805
2567_223_000,trestle,19,26,494,494.0,19.353484999999992,25.806002,9.032418,29729,19832,0.52587890625,0.07207942008972168
2567_224_000,trestle,19,26,494,494.0,18.65053499999999,25.806002,9.033479000000002,20061,14464,0.4017486572265625,0.0562136173248291
2567_225_000,trestle,19,26,494,494.0,18.550186000000025,25.809002,9.033856,21681,15048,0.3783416748046875,0.054689645767211914
2567_228_000,trestle,18,26,468,468.0,18.404526000000004,25.808002,8.969899,26385,18049,0.5381011962890625,0.0719759464263916
2567_22D,crane,18,36,648,648.0,18.355880999999982,36.369362,9.039795999999999,36430,22259,0.8118896484375,0.09392905235290527
2567_233_000,trestle,19,21,399,399.0,19.353484999999992,20.709001999999998,9.032422,23152,15750,0.4187164306640625,0.05571913719177246
2567_234_000,trestle,19,21,399,399.0,18.500809000000004,20.709001999999998,9.033484000000001,14918,10756,0.3137664794921875,0.04226064682006836
2567_235_000,trestle,19,21,399,399.0,18.550522,20.712002,9.033922,17281,12315,0.3045501708984375,0.040994882583618164
2567_238_000,trestle,18,21,378,378.0,18.404526000000004,20.711001999999997,8.958817999999999,21247,14601,0.448944091796875,0.058286190032958984
2572_91A,crane,22,39,858,858.0,22.375101,38.643636,24.736826,59703,31002,1.1148223876953125,0.1179962158203125
3306_20A,crane,21,21,441,441.0,21.250021,20.800079,11.572013,73451,46272,1.21185302734375,0.17001676559448242
3306_25A,crane,53,10,530,530.0,52.85000599999999,9.800987000000003,11.695,80108,55231,1.3574676513671875,0.20896100997924805
3307_11B,crane,25,21,525,525.0,24.988833,20.500003,5.550003,36150,21057,0.56005859375,0.0702219009399414
3307_12B,crane,25,18,450,450.0,24.931775000000002,17.789999,5.697323,32276,19388,0.542633056640625,0.06728315353393555
3307_13B,crane,25,18,450,450.0,24.931586999999997,17.790001,5.680356000000001,32799,19368,0.5606689453125,0.0676577091217041
3307_20A,crane,21,21,441,441.0,21.250006000000003,20.800079,6.122002,35171,21392,0.541259765625,0.07642126083374023
3307_24A,crane,33,12,396,396.0,32.850044,11.772001,11.68,62535,40999,0.8879241943359375,0.14319920539855957
3307_25A,crane,53,10,530,530.0,52.667381999999996,9.800003,9.658958,55022,34924,0.82879638671875,0.1316215991973877
3307_81D,crane,30,18,540,540.0,29.879356,18.5,3.5981869999999994,37183,20016,0.601348876953125,0.07593107223510742
3307_82D,crane,30,20,600,600.0,29.553009000000017,19.75605,3.6409470000000006,35562,19130,0.5923919677734375,0.07680177688598633
3307_83D,crane,30,20,600,600.0,29.607910000000004,19.756698999999998,3.6409470000000006,30700,16792,0.5297088623046875,0.06357574462890625
4367_20H,crane,21,51,1071,1071.0,20.66494800000001,51.067002,31.819378999999998,136987,90890,2.3616943359375,0.31870365142822266
4373_20G,crane,17,61,1037,1037.0,16.95060699999999,61.040006000000005,35.07327,149947,93074,2.44378662109375,0.3602023124694824
4373_20H,crane,17,61,1037,1037.0,17.05008000000001,61.040052,35.073269999999994,138008,83383,2.2162933349609375,0.32381248474121094
4373_20J,crane,19,61,1159,1159.0,18.75045800000001,61.037475,35.073345,171685,105843,2.753753662109375,0.4071054458618164
4373_20K,crane,17,61,1037,1037.0,16.886550999999997,61.036934,35.248314,132555,79412,2.118621826171875,0.31703877449035645
4373_20L,crane,31,61,1891,1891.0,31.102570000000014,61.043259,21.320127999999997,232924,146847,4.0738525390625,0.625767707824707
4373_20N,crane,19,61,1159,1159.0,19.432923000000017,61.055004,35.067217,161173,97990,2.8212738037109375,0.39274120330810547
4374_148_000,trestle,15,6,90,90.0,15.201058000000003,6.408942,16.930206000000002,10928,6608,0.1882781982421875,0.03716325759887695
4374_158_000,trestle,15,6,90,90.0,15.201130000000006,6.408940999999999,16.930209999999995,10856,6569,0.1859588623046875,0.027950048446655273
4374_162_000,trestle,22,8,176,176.0,21.952886,8.322030999999999,5.426123999999998,8498,5062,0.177642822265625,0.02503180503845215
4374_172_000,trestle,22,8,176,176.0,21.952872,8.322032999999998,5.389651999999998,8512,5088,0.174346923828125,0.032907724380493164
4374_20G,crane,17,61,1037,1037.0,16.950699000000014,61.040006000000005,35.07327,150599,93226,2.425689697265625,0.34809422492980957
4374_20H,crane,17,61,1037,1037.0,17.05008000000001,61.040052,35.073269999999994,139938,84153,2.256072998046875,0.33194613456726074
4374_20J,crane,19,61,1159,1159.0,18.750350999999995,61.037475,35.073307,171807,105841,2.757232666015625,0.4120361804962158
4374_20K,crane,17,61,1037,1037.0,16.886550999999997,61.036934,35.067219,134322,80236,2.1480255126953125,0.3162214756011963
4374_20L,crane,31,61,1891,1891.0,31.102570000000014,61.043259,21.320127999999997,232794,146581,4.052398681640625,0.6287500858306885
4374_20N,crane,19,61,1159,1159.0,19.432923000000017,61.055004,35.065345,103413,63424,1.91351318359375,0.25531673431396484
4374_20Y,crane,102,61,6222,6222.0,102.34532200000001,61.040231000000006,35.068854,686715,427059,11.2542724609375,3.083401918411255
4374_643_000,trestle,17,6,102,102.0,16.62307800000002,6.257501999999999,14.343720000000001,13187,8070,0.24310302734375,0.03869962692260742
4374_645_000,trestle,21,3,63,63.0,20.701354999999978,3.395581,11.744248000000002,6787,4254,0.1224212646484375,0.024692058563232422
4374_653_000,trestle,17,6,102,102.0,16.62307800000002,6.257501000000001,14.343723000000004,13300,8031,0.241119384765625,0.033039093017578125
4374_655_000,trestle,21,3,63,63.0,20.701354999999978,3.395579999999999,11.744195999999999,6694,4136,0.1215667724609375,0.03154158592224121
4374_666_000,trestle,22,13,286,286.0,21.814880000000016,13.375982,5.297979999999999,14174,8691,0.297637939453125,0.03718733787536621
4374_676_000,trestle,22,13,286,286.0,21.814697000000024,13.375982,5.297980000000003,14160,8656,0.2924652099609375,0.03342151641845703
4375_148_000,trestle,15,6,90,90.0,15.201058000000003,6.408942,16.930206000000002,10959,6614,0.1892242431640625,0.030550003051757812
4375_158_000,trestle,15,6,90,90.0,15.201130000000006,6.408940999999999,16.930209999999995,10875,6558,0.1853485107421875,0.027704954147338867
4375_161_000,trestle,22,19,418,418.0,21.974331000000003,19.032632,9.452475999999999,23549,14249,0.5009002685546875,0.05724835395812988
4375_162_000,trestle,22,8,176,176.0,21.952886,8.322021,5.426123999999998,8410,5063,0.176666259765625,0.024014949798583984
4375_166_000,trestle,15,18,270,270.0,15.202950000000001,17.544401999999998,6.079345,12343,7340,0.214141845703125,0.03193163871765137
4375_171_000,trestle,22,19,418,418.0,21.968631000000002,19.031279,9.452477,21901,13562,0.4694366455078125,0.05394172668457031
4375_172_000,trestle,22,8,176,176.0,21.952872,8.322022999999998,5.389651999999998,8501,5071,0.174072265625,0.026271343231201172
4375_176_000,trestle,15,15,225,225.0,15.202843000000001,15.299052999999999,6.079891,12088,7326,0.212921142578125,0.02887439727783203
4375_20G,crane,17,61,1037,1037.0,16.950592,61.040006000000005,35.07327,121826,77466,1.976318359375,0.29216837882995605
4375_20H,crane,17,61,1037,1037.0,17.05008000000001,61.040052,35.073269999999994,81065,53921,1.4453277587890625,0.20576882362365723
4375_20J,crane,19,61,1159,1159.0,18.750350999999995,61.037475,35.073307,143675,90193,2.3379669189453125,0.34076428413391113
4375_20K,crane,17,61,1037,1037.0,16.886550999999997,61.036934,35.067219,99771,62481,1.6891632080078125,0.24169588088989258
4375_20L,crane,31,61,1891,1891.0,31.102570000000014,61.043003,20.825367,164234,103958,2.962188720703125,0.42856454849243164
4375_20N,crane,19,61,1159,1159.0,19.432923000000017,61.055004,35.065345,122442,74302,2.22442626953125,0.29659199714660645
4375_20Y,crane,62,61,3782,3782.0,61.96635499999999,61.040004,35.069977,83638,50332,1.3408355712890625,0.18929362297058105
4375_245_000,trestle,21,20,420,420.0,20.83990399999999,20.133730999999997,5.266019,23327,15503,0.5185546875,0.06357169151306152
4375_255_000,trestle,21,20,420,420.0,20.73523,20.133730999999997,5.266021,22844,15286,0.5140533447265625,0.06072807312011719
4375_285_000,trestle,21,9,189,189.0,20.944213999999988,8.782453,5.273131,9577,5885,0.204071044921875,0.027983427047729492
4375_287_000,trestle,22,20,440,440.0,21.970245000000034,20.247591,5.292964,12145,7006,0.2415313720703125,0.032697439193725586
4375_295_000,trestle,21,9,189,189.0,20.944213999999988,8.782356,5.2730950000000005,9561,5875,0.2043304443359375,0.03153109550476074
4375_297_000,trestle,22,22,484,484.0,21.97128299999997,21.881127,5.296267,12598,7307,0.253692626953125,0.03400254249572754
4375_642_000,trestle,15,4,60,60.0,15.004104999999981,3.6058379999999985,14.337206000000002,9073,5432,0.16375732421875,0.025508642196655273
4375_643_000,trestle,17,6,102,102.0,16.62307800000002,6.257501999999999,14.343720000000001,13191,8078,0.2432403564453125,0.035091400146484375
4375_646_000,trestle,22,8,176,176.0,21.804290999999978,8.432646000000002,9.172827000000002,12132,6985,0.2224273681640625,0.03175806999206543
4375_647_000,trestle,22,13,286,286.0,21.817718000000013,13.485140000000001,6.591868999999999,14592,8154,0.3067626953125,0.03799009323120117
4375_652_000,trestle,15,4,60,60.0,15.004104999999981,3.6058309999999985,14.337208999999998,8904,5215,0.157470703125,0.025087594985961914
4375_653_000,trestle,17,6,102,102.0,16.62307800000002,6.257501000000001,14.343723000000004,13290,8044,0.2420501708984375,0.03903937339782715
4375_656_000,trestle,22,8,176,176.0,21.804290999999978,8.432646000000002,9.175489999999996,11972,6830,0.2168731689453125,0.03653597831726074
4375_657_000,trestle,22,13,286,286.0,21.820892000000015,13.485139,6.591873,14719,8191,0.3076934814453125,0.035750389099121094
4375_665_000,trestle,21,6,126,126.0,20.939666999999986,5.940735,5.280085,8334,5028,0.1739654541015625,0.024782419204711914
4375_666_000,trestle,22,13,286,286.0,21.813354000000004,13.375982,5.298256000000002,12833,7341,0.25872802734375,0.03351616859436035
4375_667_000,trestle,22,20,440,440.0,22.127501999999993,20.045661000000003,5.2982559999999985,13946,8117,0.285308837890625,0.03415822982788086
4375_675_000,trestle,21,6,126,126.0,20.939666999999986,5.940735,5.272009000000001,8433,5069,0.1737823486328125,0.02570939064025879
4375_676_000,trestle,22,13,286,286.0,21.81298800000002,13.375982,5.295542000000001,12810,7372,0.259368896484375,0.03192710876464844
4375_677_000,trestle,22,20,440,440.0,22.127501999999993,20.060371,5.297768000000001,13927,8083,0.2871551513671875,0.03603982925415039
4375_685_000,trestle,21,8,168,168.0,20.946349999999995,7.666739999999997,5.274361999999998,8479,5282,0.1858062744140625,0.0328524112701416
4375_687_000,trestle,22,25,550,550.0,21.989837000000023,25.301981,5.295428000000001,15893,8817,0.3081207275390625,0.03753924369812012
4375_695_000,trestle,21,8,168,168.0,20.943817000000024,7.666740999999998,5.274351999999999,8570,5287,0.183074951171875,0.02686142921447754
4375_697_000,trestle,22,27,594,594.0,21.989837000000023,26.921752,5.298233,16125,8984,0.31353759765625,0.03882408142089844
4376_125_000,trestle,14,6,84,84.0,13.800003000000004,6.247501999999997,9.149255999999998,5478,3178,0.10528564453125,0.01654815673828125
4376_135_000,trestle,14,6,84,84.0,13.800003000000004,6.247501,9.149259,5265,3008,0.1011962890625,0.016507625579833984
4376_148_000,trestle,15,6,90,90.0,15.201058000000003,6.408942,16.930206000000002,10932,6618,0.1889801025390625,0.027086257934570312
4376_158_000,trestle,15,6,90,90.0,15.201130000000006,6.408940999999999,16.930209999999995,10499,6391,0.180938720703125,0.02600574493408203
4376_162_000,trestle,22,8,176,176.0,21.952886,8.322021,5.426123999999998,8491,5065,0.17730712890625,0.02364373207092285
4376_163_000,trestle,22,3,66,66.0,21.956850000000003,3.368610999999998,11.744211999999997,5832,3535,0.1199188232421875,0.026911020278930664
4376_166_000,trestle,15,18,270,270.0,15.202950000000001,17.544401999999998,6.079345,12302,7322,0.2131195068359375,0.04230332374572754
4376_172_000,trestle,22,8,176,176.0,21.952872,8.322022999999998,5.389651999999998,8476,5066,0.1739044189453125,0.02397918701171875
4376_173_000,trestle,22,3,66,66.0,21.955,3.3686099999999968,11.744215,5773,3462,0.11798095703125,0.01896977424621582
4376_176_000,trestle,15,15,225,225.0,15.202843000000001,15.299052999999999,6.079891,12078,7322,0.21246337890625,0.03085780143737793
4376_20G,crane,17,61,1037,1037.0,16.95062200000001,61.040006000000005,35.07327,150580,93201,2.4273834228515625,0.3452942371368408
4376_20H,crane,17,61,1037,1037.0,17.05008000000001,61.040052,35.073269999999994,91841,57150,1.5378875732421875,0.22573447227478027
4376_20J,crane,19,61,1159,1159.0,18.601287999999983,61.036089000000004,35.067217,99029,60131,1.5446014404296875,0.22012639045715332
4376_20K,crane,17,61,1037,1037.0,16.886550999999997,61.036934,35.067219,134289,80243,2.1446685791015625,0.317903995513916
4376_20L,crane,31,61,1891,1891.0,31.102570000000014,61.043259,21.320127999999997,203135,127479,3.5798187255859375,0.5184388160705566
